x,y,z,yaw,velocity,change_flag
-13473.7461,-43873.6836,70.3840,1.3937,0,0
-13473.8184,-43875.0742,70.2050,1.4261,0.0000,0
-13474.0664,-43876.2188,70.3660,1.4311,0.0000,0
-13474.2021,-43877.2656,70.2240,1.4238,0.0000,0
-13474.0596,-43876.2227,70.3441,1.4187,0.0000,0
-13474.0039,-43875.1328,70.3150,1.4393,0.0000,0
-13473.7598,-43873.9766,71.0562,1.4709,0.0000,0
-13473.6924,-43872.9648,71.2281,1.4400,0.0000,0
-13473.4785,-43871.9805,71.2328,1.4262,0.0000,0
-13473.2227,-43871.0039,71.1742,1.4054,0.0000,0
-13472.9980,-43869.9492,71.1959,1.4235,0.0000,0
-13472.6592,-43868.9336,71.2127,1.2419,0.0000,0
-13472.1064,-43867.9570,71.1543,1.1307,0.0000,0
-13471.5879,-43867.0625,71.1991,1.0624,0.0000,0
-13470.9863,-43866.2383,71.1890,0.9649,0.0000,0
-13470.4170,-43865.4023,71.1296,1.2164,0.0000,0
-13470.4297,-43864.3477,71.1168,1.8043,0.0000,0
-13470.8535,-43863.3672,70.9882,1.8496,0.0000,0
-13470.8896,-43862.3320,71.1108,1.6318,0.0000,0
-13470.8633,-43861.3047,71.1213,1.4401,0.0000,0
-13470.7305,-43860.2383,71.0604,1.4146,0.0000,0
-13470.4434,-43859.2695,71.1350,1.2889,0.0000,0
-13470.1328,-43858.2344,71.0674,1.3962,0.0000,0
-13470.0586,-43857.1367,71.0168,1.4590,0.0000,0
-13470.0508,-43856.1289,70.9818,1.4891,0.0000,0
